id,LINDC+,LDCH,LD2S1,LD3S1,LNM,LINN,overshoot,damping
142,2.9929322968702764e-08,4.5873657499905674e-08,4.744382522962987e-08,4.141599181396886e-08,2.3120764847490937e-08,2.7835178338605912e-08,1713.8599,0.2477360963821411
143,2.127832606714219e-08,2.7694387284666304e-08,4.7281200909763575e-08,2.0722461961098017e-08,2.6560849018990995e-08,2.7835178338605912e-08,1397.7462,0.21703366935253143
144,4.512961844669655e-08,2.1683571450691673e-08,3.897478306237608e-09,1.311195193644613e-08,6.3828114280663435e-09,2.599521540571004e-09,1491.066,0.5137794017791748
145,4.0786507799681276e-08,2.1683571450691673e-08,3.897478306237608e-09,1.311195193644613e-08,6.3828114280663435e-09,2.599521540571004e-09,1027.7317,0.25307318568229675
146,4.512961844669655e-08,4.797801280394197e-09,3.897478306237608e-09,1.311195193644613e-08,6.3828114280663435e-09,2.599521540571004e-09,776.8092,0.055950164794921875
147,4.512961844669655e-08,2.1683571450691673e-08,3.4305272620022297e-08,1.311195193644613e-08,6.3828114280663435e-09,2.599521540571004e-09,1083.6566,0.0
148,4.512961844669655e-08,2.1683571450691673e-08,3.897478306237608e-09,9.591102350410073e-09,6.3828114280663435e-09,2.599521540571004e-09,1016.94995,0.2507581412792206
149,4.512961844669655e-08,2.1683571450691673e-08,3.897478306237608e-09,1.311195193644613e-08,1.167153602020815e-08,2.599521540571004e-09,1102.0623,0.200562983751297
150,4.512961844669655e-08,2.1683571450691673e-08,3.897478306237608e-09,1.311195193644613e-08,6.3828114280663435e-09,4.743445981182159e-09,1218.8942,0.0
151,4.0786507799681276e-08,4.797801280394197e-09,3.4305272620022297e-08,9.591102350410073e-09,1.167153602020815e-08,4.743445981182159e-09,586.31665,0.05525926873087883
152,2.062739748908207e-08,6.877692184904591e-08,3.770679469006136e-08,4.339982838243246e-08,5.369484534302726e-08,4.1948027351591734e-08,1919.8247,0.2639472782611847
153,5.559780926704407e-09,6.877692184904591e-08,3.770679469006136e-08,4.339982838243246e-08,5.369484534302726e-08,4.1948027351591734e-08,1877.0786,0.2587772607803345
154,2.062739748908207e-08,6.517211108068005e-08,3.770679469006136e-08,4.339982838243246e-08,5.369484534302726e-08,4.1948027351591734e-08,1908.5449,0.26126134395599365
155,2.062739748908207e-08,6.877692184904591e-08,1.4665607432983815e-08,4.339982838243246e-08,5.369484534302726e-08,4.1948027351591734e-08,2042.0391,0.2713044583797455
156,2.062739748908207e-08,6.877692184904591e-08,3.770679469006136e-08,3.090737608173862e-08,5.369484534302726e-08,4.1948027351591734e-08,1861.7075,0.25689828395843506
157,2.062739748908207e-08,6.877692184904591e-08,3.770679469006136e-08,4.339982838243246e-08,3.960533164905384e-08,4.1948027351591734e-08,2036.49,0.2721813917160034
158,2.062739748908207e-08,6.877692184904591e-08,3.770679469006136e-08,4.339982838243246e-08,5.369484534302726e-08,5.3066079271547496e-08,1891.8096,0.2614915370941162
159,5.559780926704407e-09,6.517211108068005e-08,1.4665607432983815e-08,3.090737608173862e-08,3.960533164905384e-08,5.3066079271547496e-08,1686.4236,0.2349187433719635
160,2.4288770736735314e-08,3.25004674596712e-08,5.240276555234566e-08,4.8978204543367026e-08,4.197358183177188e-08,3.889888427849859e-08,1727.1221,0.2416236400604248
161,2.991714443275705e-08,3.25004674596712e-08,5.240276555234566e-08,4.8978204543367026e-08,4.197358183177188e-08,3.889888427849859e-08,1752.5469,0.24351300299167633
